"L2_O","L2_C","L5_O","L5_C","year1","year3","year5","year10","gender","age","emploi","Text","Level","Data","sentiment","docname","Segment","WPS","WC","Sixltr","Dic","fonction","pronom","pronomp","je","nous","vous","il","ils","pronomimp","article","verbe","verbeauxi","verbepassé","verbeprésent","verbefutur","adverbe","préposition","conjonction","négation","quantifieur","nombre","juron","social","famille","ami","humain","affect","émopos","émonég","anxiété","colère","tristesse","cognition","perspicacité","cause","divergence","tentative","certitude","inhibition","inclusion","exclusion","perception","voir","entendre","sentir","biologique","corps","santé","sexualité","alimentation","relativité","mouvement","espace","temps","travail","accomplissement","loisir","maison","argent","religion","mort","consentement","hésitation","remplisseur","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"","","","À aucun moment car aucune possibilité d'interagir en cas de problèmes ""informatique"" ce qui est quand même assez courant de nos jours les buggs",0,0,0,0,2,58,2,"   À aucun moment car aucune possibilité d'interagir en cas de problèmes ""informatique"" ce qui est quand même assez courant de nos jours les buggs","Level5","Cloud",-1,"text31",31,26,26,19.23,284.62,57.69,7.69,7.69,0,3.85,0,3.85,0,0,11.54,3.85,3.85,0,3.85,0,11.54,15.38,11.54,7.69,15.38,0,0,7.69,0,0,0,3.85,0,3.85,0,0,0,30.77,3.85,3.85,3.85,0,0,0,7.69,11.54,0,0,0,0,0,0,0,0,0,19.23,3.85,3.85,15.38,0,0,0,0,0,0,0,0,0,0,11.54,0,0,0,0,0,0,0,11.54,3.85,0,11.54
"","","On n’ est pas maître du véhicule. Il faut pouvoir reprendre le contrôle. La voiture sera connectée et donc piratable. ","",0,25,52,97,1,65,3,"  On n’ est pas maître du véhicule. Il faut pouvoir reprendre le contrôle. La voiture sera connectée et donc piratable.  ","Level5","Car",0,"text32",32,8,24,29.17,216.67,29.17,8.33,8.33,0,0,0,8.33,0,0,12.5,20.83,4.17,4.17,12.5,0,0,0,8.33,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,29.17,4.17,8.33,0,8.33,4.17,4.17,4.17,0,0,0,0,0,0,0,0,0,0,8.33,4.17,4.17,0,8.33,8.33,0,0,0,0,0,0,0,0,16.67,12.5,0,0,0,0,0,0,4.17,4.17,0,12.5
"","L'histoire de la ""distanciation"", mot à la mode en ce moment, me laisse songeur... En effet, pour respecter ces intervalles de sécurité, il faudrait que tous les véhicules en soient équipés ce qui est encore très loin d'être le cas. Hors, lorsque  vous respectez les distances, il y a toujours un petit malin qui vient se positionner juste devant vous. Cela est d'autant plus vrai lorsque la circulation est dense... Sinon, je trouve particulièrement pénible qu'un objet me donne des ordres.","","",1,1,1,10,1,53,2," L'histoire de la ""distanciation"", mot à la mode en ce moment, me laisse songeur... En effet, pour respecter ces intervalles de sécurité, il faudrait que tous les véhicules en soient équipés ce qui est encore très loin d'être le cas. Hors, lorsque  vous respectez les distances, il y a toujours un petit malin qui vient se positionner juste devant vous. Cela est d'autant plus vrai lorsque la circulation est dense... Sinon, je trouve particulièrement pénible qu'un objet me donne des ordres.  ","Level2","Cloud",0,"text33",33,19.8,99,19.19,218.18,39.39,11.11,11.11,4.04,0,2.02,5.05,0,0,10.1,12.12,4.04,1.01,9.09,1.01,7.07,10.1,5.05,0,6.06,1.01,0,1.01,0,0,0,4.04,4.04,0,0,0,0,16.16,3.03,2.02,0,1.01,4.04,1.01,6.06,5.05,1.01,0,0,1.01,0,0,0,0,0,17.17,1.01,7.07,4.04,0,0,0,0,0,0,0,0,0,0,22.22,9.09,7.07,0,0,0,0,0,6.06,4.04,0,22.22
"","J'aurai peur justement de ne pas être maître de mon véhicule avec toute cette modernité. Pas très confiance.","","",0,0,0,0,2,64,3," J'aurai peur justement de ne pas être maître de mon véhicule avec toute cette modernité. Pas très confiance.  ","Level2","Cloud",-1,"text34",34,10,20,25,265,50,10,10,10,0,0,0,0,0,10,10,10,0,0,5,5,15,0,15,10,0,0,0,0,0,0,10,5,5,5,0,0,25,0,0,0,5,10,5,5,10,0,0,0,0,0,0,0,0,0,5,0,0,0,5,10,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,5,5,0,15
"","","","Je pense que si je possède un véhicule de niveau 5, ce dernier sera maître de la voiture et non moi.  
Je dois lui dédier une totale confiance, il effectuera de manière autonome toutes les tâches de conduite que je gérais avant. Je ne sais pas si je suis prête.  ",9,8,30,40,2,24,1,"   Je pense que si je possède un véhicule de niveau 5, ce dernier sera maître de la voiture et non moi.  
Je dois lui dédier une totale confiance, il effectuera de manière autonome toutes les tâches de conduite que je gérais avant. Je ne sais pas si je suis prête.  ","Level5","Cloud",1,"text35",35,18.3333333333333,55,16.36,270.91,50.91,18.18,18.18,12.73,0,0,5.45,0,0,14.55,9.09,0,1.82,5.45,1.82,1.82,9.09,9.09,5.45,5.45,3.64,0,0,0,0,0,1.82,1.82,0,0,0,0,20,5.45,3.64,3.64,3.64,7.27,1.82,5.45,7.27,0,0,0,0,0,0,0,0,0,12.73,3.64,5.45,5.45,3.64,5.45,0,0,0,0,0,0,0,0,9.09,5.45,3.64,0,0,0,0,0,0,0,0,9.09
"On doit rester vigilant, donc c’est plus fatiguant que de conduire, j’imagine.___________________________________","","","",1,1,1,1,1,52,2,"On doit rester vigilant, donc c’est plus fatiguant que de conduire, j’imagine.___________________________________   ","Level2","Car",3,"text36",36,8,16,31.25,325,31.25,6.25,6.25,6.25,0,0,0,0,0,6.25,37.5,6.25,6.25,18.75,0,6.25,12.5,12.5,0,6.25,0,0,0,0,0,0,12.5,6.25,6.25,0,0,6.25,25,6.25,12.5,0,6.25,6.25,0,12.5,6.25,6.25,6.25,0,0,6.25,0,6.25,0,0,18.75,12.5,0,0,0,0,0,0,0,0,0,0,0,0,250,6.25,12.5,0,0,0,0,0,12.5,12.5,0,18.75
"","","Non pas en securite
Je n’ai pas envie sur le stockage des données soit délocalisé , cela ne me rassure pas 😩","",3,3,4,8,2,57,2,"  Non pas en securite
Je n’ai pas envie sur le stockage des données soit délocalisé , cela ne me rassure pas 😩 ","Level5","Car",-1,"text37",37,22,22,22.73,254.55,54.55,13.64,13.64,9.09,0,0,4.55,0,0,9.09,13.64,4.55,4.55,9.09,0,4.55,9.09,4.55,27.27,0,0,0,9.09,0,0,0,9.09,9.09,4.55,0,4.55,0,13.64,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,4.55,0,4.55,0,0,0,0,0,0,0,0,0,0,0,9.09,0,4.55,0,0,0,0,0,4.55,4.55,0,4.55
"Disons que je suis maître de mon véhicule jusqu'à ce qu'il y ait un dysfonctionnement de la fonction autonome du véhicule. Mais dans le sens où je peux reprendre la main à tout moment je me sentirais quasiment totalement maître du véhicule. ","","","",0,50,90,100,2,26,1,"Disons que je suis maître de mon véhicule jusqu'à ce qu'il y ait un dysfonctionnement de la fonction autonome du véhicule. Mais dans le sens où je peux reprendre la main à tout moment je me sentirais quasiment totalement maître du véhicule.    ","Level2","Car",1,"text38",38,22,44,25,281.82,50,15.91,15.91,11.36,0,0,4.55,0,0,18.18,13.64,0,0,9.09,2.27,6.82,11.36,4.55,0,4.55,2.27,0,2.27,0,0,0,0,0,0,0,0,0,22.73,4.55,0,2.27,4.55,4.55,0,9.09,2.27,9.09,0,2.27,6.82,2.27,2.27,0,0,0,11.36,0,9.09,4.55,6.82,4.55,0,0,0,0,0,0,0,0,9.09,4.55,0,0,0,0,0,0,4.55,4.55,0,9.09
"","Je me sens maître mais moins attentif, par contre le dispositif de conduite sur cloud ne rassure pas du tout","","",0,30,65,90,1,25,2," Je me sens maître mais moins attentif, par contre le dispositif de conduite sur cloud ne rassure pas du tout  ","Level2","Cloud",1,"text39",39,21,21,19.05,300,57.14,14.29,14.29,9.52,0,0,4.76,0,0,14.29,9.52,0,0,9.52,0,4.76,19.05,4.76,9.52,4.76,0,0,4.76,0,0,0,9.52,9.52,0,0,0,0,23.81,9.52,0,4.76,0,4.76,0,0,9.52,9.52,0,0,4.76,0,0,0,0,0,14.29,4.76,4.76,0,4.76,4.76,0,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,4.76
"","","","valable peut être en inter urbain  mais pas chez moi à la campagne.je ne laisse pas ma vie aux mains d'un système pareil!  ",0,0,0,50,1,62,3,"   valable peut être en inter urbain  mais pas chez moi à la campagne.je ne laisse pas ma vie aux mains d'un système pareil!  ","Level5","Cloud",-1,"text40",40,24,24,12.5,258.33,50,8.33,8.33,8.33,0,0,0,0,0,12.5,12.5,4.17,0,8.33,0,0,16.67,4.17,12.5,4.17,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4.17,4.17,0,4.17,8.33,8.33,4.17,0,0,4.17,8.33,4.17,4.17,0,0,20.83,0,8.33,0,0,0,0,0,0,0,0,0,0,0,12.5,4.17,0,0,0,0,4.17,0,4.17,4.17,0,12.5
"","","Anticiper des situations inattendues qui ne peuvent pas être programmées
Déprogrammer un itinéraire en cours de route ","",1,2,4,7,2,24,2,"  Anticiper des situations inattendues qui ne peuvent pas être programmées
Déprogrammer un itinéraire en cours de route  ","Level5","Car",1,"text41",41,17,17,41.18,188.24,41.18,0,0,0,0,0,0,0,0,17.65,17.65,5.88,5.88,5.88,0,0,11.76,5.88,11.76,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,5.88,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,5.88,0,5.88,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","J ai bien peur de m'endormir Mais je suis bien plus disponible pour alimenter une conversation je ne sais pas combien je fais confiance au système de sécurité
Dans les limites des règles de vitesse j aurai sûrement le désir de reprendre le contrôle plus que nécessaire 
Apres une période d adaptation je pense que j aimerai cette nouvelle réalité ","","",4,8,27,66,1,74,3," J ai bien peur de m'endormir Mais je suis bien plus disponible pour alimenter une conversation je ne sais pas combien je fais confiance au système de sécurité
Dans les limites des règles de vitesse j aurai sûrement le désir de reprendre le contrôle plus que nécessaire 
Apres une période d adaptation je pense que j aimerai cette nouvelle réalité   ","Level2","Cloud",-1,"text42",42,60,60,31.67,340,45,10,10,6.67,0,0,3.33,0,0,18.33,18.33,3.33,5,6.67,3.33,8.33,15,5,3.33,6.67,3.33,0,3.33,0,1.67,0,18.33,16.67,1.67,1.67,0,0,28.33,6.67,6.67,1.67,1.67,6.67,5,8.33,6.67,1.67,1.67,0,0,3.33,0,0,1.67,1.67,18.33,1.67,5,6.67,1.67,6.67,0,0,0,0,0,3.33,0,0,1.67,0,0,0,0,0,0,0,1.67,1.67,0,1.67
"","Dans ce contexte, je me sentirais maître à 50% de mon véhicule. Les 50 autres % sont pour la technologie.

Je vois d'un bon œil l'automatisation de la voitures avec l'aide de L'IA. Dans quelques années, on en trouvera de plus en plus jusqu'à qu'il n'y ait plus que ça à long terme.

Cependant en 2020, je pense qu'il y ait encore trop de faille dans le système pour que je puisse me sentir en sécurité totale. À ce stade là, je n'ai pas une confiance totale en mon véhicule
","","",9,20,40,49,1,23,1," Dans ce contexte, je me sentirais maître à 50% de mon véhicule. Les 50 autres % sont pour la technologie.

Je vois d'un bon œil l'automatisation de la voitures avec l'aide de L'IA. Dans quelques années, on en trouvera de plus en plus jusqu'à qu'il n'y ait plus que ça à long terme.

Cependant en 2020, je pense qu'il y ait encore trop de faille dans le système pour que je puisse me sentir en sécurité totale. À ce stade là, je n'ai pas une confiance totale en mon véhicule
  ","Level2","Cloud",2,"text43",43,16.6666666666667,100,14,258,49,14,13,9,0,0,4,0,1,12,8,1,3,2,2,6,23,3,2,7,1,0,1,0,0,0,7,7,0,0,0,0,19,4,0,2,1,1,1,14,3,3,1,0,2,0,0,0,0,0,18,1,8,2,1,2,0,0,0,0,0,0,0,0,20,5,4,0,0,0,0,0,9,9,0,20
"","","Je ne me sens pas maitre du véhicule, ni propriétaire. Je vois cela plus comme un service rendu par un transport ne me laissant une marge d'improvisation possible avec une voiture classique (ou transport individuel). De plus je me sens contraint par des possibilités finis de ""destination"" ","",0,0,0,0,1,22,1,"  Je ne me sens pas maitre du véhicule, ni propriétaire. Je vois cela plus comme un service rendu par un transport ne me laissant une marge d'improvisation possible avec une voiture classique (ou transport individuel). De plus je me sens contraint par des possibilités finis de ""destination""  ","Level5","Car",2,"text44",44,18,54,25.93,268.52,44.44,11.11,11.11,11.11,0,0,0,0,0,14.81,16.67,0,7.41,9.26,0,5.56,12.96,1.85,7.41,11.11,7.41,0,5.56,0,0,1.85,3.7,3.7,0,0,0,0,24.07,5.56,1.85,0,1.85,0,3.7,7.41,9.26,5.56,1.85,0,3.7,0,0,0,0,0,9.26,1.85,0,1.85,1.85,0,0,1.85,0,0,0,0,0,0,14.81,3.7,1.85,0,0,0,0,0,5.56,1.85,0,11.11
"","","Pas du tout maître du véhicule, cependant, les accidents de voitures sont souvent du à erreur humaine, si tout les véhicules étaient automatisé on aurait surement moins d'accident. Mais je pense que cela serait la même sensation d'impuissance que dans un avion par exemple ","",2,4,15,25,2,23,1,"  Pas du tout maître du véhicule, cependant, les accidents de voitures sont souvent du à erreur humaine, si tout les véhicules étaient automatisé on aurait surement moins d'accident. Mais je pense que cela serait la même sensation d'impuissance que dans un avion par exemple  ","Level5","Car",-3,"text45",45,24,48,29.17,220.83,47.92,2.08,2.08,2.08,0,0,0,0,0,16.67,4.17,4.17,2.08,0,2.08,8.33,8.33,10.42,2.08,12.5,2.08,0,2.08,0,0,2.08,4.17,2.08,2.08,0,0,0,22.92,0,0,8.33,4.17,4.17,0,8.33,4.17,2.08,0,0,2.08,2.08,2.08,0,0,0,8.33,2.08,4.17,2.08,2.08,2.08,0,0,0,0,0,0,0,0,12.5,2.08,6.25,0,0,0,0,0,4.17,4.17,0,12.5
"","","Je ne me sens absolument pas maitre de mon véhicule. Je n'ai aucun pouvoir sur ma voiture, et cela ne me plait pas, et me fait même peur.","",0,4,10,50,2,29,2,"  Je ne me sens absolument pas maitre de mon véhicule. Je n'ai aucun pouvoir sur ma voiture, et cela ne me plait pas, et me fait même peur. ","Level5","Car",-2,"text46",46,16,32,12.5,296.88,56.25,21.88,21.88,21.88,0,0,0,0,0,3.12,12.5,3.12,0,12.5,0,6.25,6.25,6.25,18.75,6.25,0,0,0,0,0,0,3.12,0,3.12,3.12,0,0,31.25,3.12,3.12,0,3.12,3.12,0,6.25,9.38,3.12,0,0,3.12,0,0,0,0,0,9.38,6.25,3.12,0,0,3.12,0,0,0,0,0,3.12,0,0,15.62,6.25,6.25,0,0,0,0,0,3.12,3.12,0,15.62
"","","","Je n’en serai aucunement maître ! Je ne gère dans ce cas là plus rien ! Et même la voiture ne gère plus rien, si cela passe par le cloud.",1,1,1,10,1,21,1,"   Je n’en serai aucunement maître ! Je ne gère dans ce cas là plus rien ! Et même la voiture ne gère plus rien, si cela passe par le cloud.","Level5","Cloud",-1,"text47",47,10.6666666666667,32,6.25,356.25,56.25,12.5,12.5,6.25,0,0,6.25,0,0,6.25,15.62,0,6.25,9.38,0,12.5,12.5,6.25,15.62,18.75,0,0,0,0,0,0,6.25,6.25,0,0,0,0,43.75,6.25,0,3.12,3.12,0,0,12.5,28.12,0,0,0,0,0,0,0,0,0,25,6.25,6.25,0,9.38,3.12,0,0,0,0,0,0,0,0,15.62,3.12,3.12,0,0,0,6.25,0,3.12,3.12,0,12.5
"Je me sens plutôt assez en contrôle de mon véhicule dans le sens où je peux intervenir lors de la conduite, et que le véhicule est équipé de commandes classiques que je connais, et que je peux prendre en main facilement","","","",2,5,10,25,2,23,1,"Je me sens plutôt assez en contrôle de mon véhicule dans le sens où je peux intervenir lors de la conduite, et que le véhicule est équipé de commandes classiques que je connais, et que je peux prendre en main facilement   ","Level2","Car",3,"text48",48,43,43,23.26,313.95,53.49,18.6,18.6,13.95,0,0,4.65,0,0,13.95,18.6,2.33,2.33,13.95,0,6.98,13.95,11.63,0,2.33,0,0,2.33,0,2.33,0,2.33,2.33,0,0,0,0,25.58,9.3,2.33,2.33,4.65,0,2.33,13.95,2.33,9.3,0,0,9.3,2.33,2.33,0,0,0,6.98,2.33,2.33,2.33,2.33,4.65,2.33,0,0,0,0,0,0,0,4.65,0,4.65,0,0,0,0,0,0,0,0,4.65
"","Je pense que cela demande un temps d'apprentissage pour vraiment faire confiance au véhicule. Étant donné que la vigilance n'est pas censée diminuer, il me serait difficile, une fois maîtrisant bien le véhicule, de ne pas relâcher mon attention, en utilisant mon portable ou en me perdant dans mes pensées... La stimulation qu'apporte la conduite permet de rester alerte selon l'endroit (autoroute vs ville). Donc, pour répondre à la question, paradoxalement, plus j'utiliserai le véhicule et moins je me sentirais maître de celui-ci ","","",2,3,20,30,1,24,1," Je pense que cela demande un temps d'apprentissage pour vraiment faire confiance au véhicule. Étant donné que la vigilance n'est pas censée diminuer, il me serait difficile, une fois maîtrisant bien le véhicule, de ne pas relâcher mon attention, en utilisant mon portable ou en me perdant dans mes pensées... La stimulation qu'apporte la conduite permet de rester alerte selon l'endroit (autoroute vs ville). Donc, pour répondre à la question, paradoxalement, plus j'utiliserai le véhicule et moins je me sentirais maître de celui-ci   ","Level2","Cloud",0,"text49",49,24.75,99,27.27,243.43,40.4,12.12,12.12,8.08,0,0,4.04,0,0,14.14,9.09,1.01,2.02,3.03,1.01,4.04,12.12,4.04,4.04,4.04,2.02,0,4.04,0,0,0,8.08,5.05,3.03,1.01,1.01,1.01,18.18,5.05,6.06,1.01,2.02,3.03,1.01,6.06,2.02,2.02,1.01,0,1.01,1.01,1.01,0,1.01,0,11.11,3.03,4.04,1.01,4.04,5.05,1.01,0,0,0,0,2.02,0,0,20.2,5.05,7.07,0,0,0,0,1.01,5.05,5.05,0,17.17
"","Je ne pourrais pas faire confiance à 100% à un ordinateur. Il existe beaucoup de bug informatique. Si le mode autonome ne fonctionne pas correctement, cela pourrait être dangereux malgré l’attention du conducteur ","","",0,0,0,0,2,23,1," Je ne pourrais pas faire confiance à 100% à un ordinateur. Il existe beaucoup de bug informatique. Si le mode autonome ne fonctionne pas correctement, cela pourrait être dangereux malgré l’attention du conducteur   ","Level2","Cloud",-1,"text50",50,12.3333333333333,37,32.43,259.46,40.54,8.11,8.11,2.7,0,0,5.41,0,0,10.81,13.51,2.7,0,2.7,5.41,2.7,8.11,5.41,10.81,5.41,2.7,0,2.7,0,0,0,5.41,2.7,2.7,0,2.7,0,35.14,5.41,2.7,5.41,8.11,5.41,2.7,5.41,10.81,0,0,0,0,0,0,0,0,0,10.81,5.41,5.41,0,0,5.41,0,0,0,0,0,0,0,0,13.51,5.41,2.7,0,0,0,0,0,2.7,2.7,0,10.81
"","","","le fait que la voiture soit dirigée à distance ne me mets pas en confiance. de plus, pour moi, à partir du moment où une voiture est dirigée par un quelconque appareil autre que le conducteur, je ne qualifierai en aucun cas que le conducteur est maître du véhicule.",0,0,0,0,2,23,1,"   le fait que la voiture soit dirigée à distance ne me mets pas en confiance. de plus, pour moi, à partir du moment où une voiture est dirigée par un quelconque appareil autre que le conducteur, je ne qualifierai en aucun cas que le conducteur est maître du véhicule.","Level5","Cloud",-1,"text51",51,54,54,22.22,322.22,55.56,12.96,11.11,5.56,0,0,5.56,0,1.85,16.67,16.67,3.7,5.56,7.41,1.85,5.56,14.81,7.41,7.41,9.26,3.7,0,0,0,0,0,3.7,3.7,0,0,0,0,24.07,1.85,5.56,1.85,0,1.85,1.85,11.11,11.11,0,0,0,0,0,0,0,0,0,24.07,12.96,5.56,1.85,7.41,11.11,0,0,0,0,0,0,0,0,9.26,3.7,5.56,0,0,0,0,0,0,0,0,9.26
"","","","Je ne suis pas maître de mon véhicule. C'est comme si je prenais le train ou le métro. La conduite devient un temps d'attente.",0,0,0,0,1,25,1,"   Je ne suis pas maître de mon véhicule. C'est comme si je prenais le train ou le métro. La conduite devient un temps d'attente.","Level5","Cloud",0,"text52",52,9,27,18.52,270.37,44.44,18.52,18.52,11.11,0,0,7.41,0,0,22.22,14.81,3.7,7.41,11.11,0,3.7,3.7,3.7,7.41,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,14.81,0,3.7,3.7,3.7,3.7,0,3.7,7.41,3.7,0,0,3.7,0,0,0,0,0,14.81,3.7,3.7,7.41,3.7,3.7,0,0,0,0,0,0,0,0,18.52,11.11,0,0,0,0,0,0,7.41,7.41,0,18.52
"nul, je fais plus rien, une fausse aide, autant tout garder pour des questions de responsabilités                                   ....................................................................................;;;;","","","",1,1,1,1,1,23,1,"nul, je fais plus rien, une fausse aide, autant tout garder pour des questions de responsabilités                                   ....................................................................................;;;;   ","Level2","Car",0,"text53",53,53.5,107,1.87,67.29,9.35,0.93,0.93,0.93,0,0,0,0,0,2.8,2.8,0,0.93,0.93,0,2.8,2.8,0,1.87,4.67,0.93,0,1.87,0,0,0,3.74,1.87,1.87,0,0,0,7.48,0.93,1.87,0.93,0.93,1.87,1.87,0.93,1.87,0,0,0,0,0,0,0,0,0,2.8,0.93,0,0,0.93,1.87,0,0,0,0,0,0,0,0,85.05,78.5,2.8,0,3.74,0,0,0,0,0,0,85.05
"","","","Je ne me sens pas vraiment maître de mon véhicule. Je me sens maître de ma destination, de mon itinéraire. Mais je me sens contraint de devoir programmer exactement ce dernier, au risque que l'itinéraire que j'ai choisi ne soit pas respecté. Je n'apprécie pas que mes donnes soient stockées sur un ""cloud"". J'ai très peur qu'en cas de panne, il y ait un grave accident. ",0,1,3,15,1,23,1,"   Je ne me sens pas vraiment maître de mon véhicule. Je me sens maître de ma destination, de mon itinéraire. Mais je me sens contraint de devoir programmer exactement ce dernier, au risque que l'itinéraire que j'ai choisi ne soit pas respecté. Je n'apprécie pas que mes donnes soient stockées sur un ""cloud"". J'ai très peur qu'en cas de panne, il y ait un grave accident. ","Level5","Cloud",-4,"text54",54,15.2,76,17.11,284.21,47.37,19.74,19.74,17.11,0,0,2.63,0,0,10.53,17.11,2.63,5.26,9.21,0,3.95,9.21,6.58,7.89,3.95,2.63,0,1.32,0,0,0,6.58,2.63,3.95,2.63,0,1.32,21.05,7.89,2.63,1.32,2.63,3.95,1.32,3.95,9.21,5.26,0,0,5.26,0,0,0,0,0,3.95,0,1.32,1.32,5.26,2.63,0,0,1.32,0,0,0,0,0,19.74,6.58,3.95,0,0,0,0,0,9.21,6.58,0,19.74
"","","Donc , je ne suis plus du tout maître de mon véhicule .
La voiture autonome de niveau 5 , est une prise de pouvoir de la machine sur l'homme .
Ce qui implique une confiance totale dans le robot qui pilotera cette voiture autonome de niveau 5.
De plus , compte tenu des aléas de fonctionnements liés à un défaut d'alimentation du système , ou de la panne d'un capteur , ou de l'obsolescence d'un composant électronique , les passagers seront à la merci du robot .Pour ma part , il est hors de question que j'abandonne mon auto-décision au profit de la machine .
","",0,0,0,0,1,64,3,"  Donc , je ne suis plus du tout maître de mon véhicule .
La voiture autonome de niveau 5 , est une prise de pouvoir de la machine sur l'homme .
Ce qui implique une confiance totale dans le robot qui pilotera cette voiture autonome de niveau 5.
De plus , compte tenu des aléas de fonctionnements liés à un défaut d'alimentation du système , ou de la panne d'un capteur , ou de l'obsolescence d'un composant électronique , les passagers seront à la merci du robot .Pour ma part , il est hors de question que j'abandonne mon auto-décision au profit de la machine .
 ","Level5","Car",3,"text55",55,22,110,20.91,253.64,45.45,7.27,7.27,4.55,0,0,2.73,0,0,26.36,10.91,1.82,4.55,5.45,0.91,2.73,18.18,3.64,0.91,8.18,2.73,0,2.73,0,0,0,4.55,3.64,0.91,0,0,0.91,18.18,2.73,2.73,0,1.82,1.82,2.73,10,3.64,0.91,0,0,0.91,0.91,0,0,0,0.91,19.09,5.45,7.27,0.91,2.73,2.73,0,0,1.82,0,0,0,0,0,17.27,4.55,6.36,0,0,0,0,0.91,5.45,5.45,0,16.36
"","","","Il faut réussir à avoir une confiance aveugle en la technologie. Ce n’est pas mon cas, il l’eut y avoir un problème à tout moment et l’intelligence artificielle peut perdre le contrôle du véhicule ",0,3,9,50,2,22,1,"   Il faut réussir à avoir une confiance aveugle en la technologie. Ce n’est pas mon cas, il l’eut y avoir un problème à tout moment et l’intelligence artificielle peut perdre le contrôle du véhicule ","Level5","Cloud",-1,"text56",56,18,36,25,313.89,44.44,13.89,13.89,2.78,0,0,11.11,0,0,13.89,19.44,8.33,0,8.33,0,5.56,8.33,2.78,5.56,8.33,5.56,0,0,0,0,0,11.11,5.56,5.56,0,0,2.78,30.56,2.78,2.78,2.78,2.78,8.33,5.56,8.33,5.56,2.78,2.78,0,0,2.78,0,2.78,0,0,8.33,0,5.56,2.78,2.78,11.11,5.56,0,0,0,0,0,0,0,13.89,2.78,2.78,0,0,0,0,0,8.33,8.33,0,5.56
"","Je pense me sentir maître de mon véhicule, mais j'ai peur que la voiture autonome me rappelle à l'ordre un peu trop tard et que je n'ai pas le temps de rectifier la manœuvre. 
Je préfère conduire que de faire confiance à un robot.","","",2,5,20,43,2,22,1," Je pense me sentir maître de mon véhicule, mais j'ai peur que la voiture autonome me rappelle à l'ordre un peu trop tard et que je n'ai pas le temps de rectifier la manœuvre. 
Je préfère conduire que de faire confiance à un robot.  ","Level2","Cloud",-1,"text57",57,23.5,47,21.28,293.62,53.19,17.02,17.02,14.89,0,0,2.13,0,0,17.02,14.89,4.26,0,8.51,0,4.26,10.64,10.64,4.26,6.38,4.26,0,2.13,0,0,0,4.26,2.13,2.13,2.13,0,0,19.15,6.38,2.13,4.26,0,2.13,2.13,12.77,2.13,2.13,0,0,2.13,0,0,0,0,0,14.89,6.38,4.26,2.13,2.13,6.38,0,0,0,0,0,0,0,0,12.77,4.26,2.13,0,0,0,0,0,6.38,6.38,0,12.77
"Je reste maître du véhicule qui, à  ce stade, est un support  à la conduite, une assistance fournissant un confort. Si cette assistance ne m'est pas imposée, en m'enlevant toute action contraire, je reste maître du véhicule.","","","",1,1,1,10,2,45,2,"Je reste maître du véhicule qui, à  ce stade, est un support  à la conduite, une assistance fournissant un confort. Si cette assistance ne m'est pas imposée, en m'enlevant toute action contraire, je reste maître du véhicule.   ","Level2","Car",3,"text58",58,22,44,25,284.09,43.18,11.36,11.36,9.09,0,0,2.27,0,0,13.64,15.91,4.55,2.27,13.64,0,0,6.82,4.55,4.55,9.09,6.82,0,6.82,0,0,0,9.09,6.82,2.27,0,0,0,22.73,2.27,4.55,4.55,2.27,2.27,2.27,9.09,6.82,0,0,0,0,0,0,0,0,0,15.91,11.36,4.55,0,4.55,6.82,0,0,0,0,0,0,0,0,20.45,4.55,11.36,0,0,0,0,0,4.55,4.55,0,20.45
"","","","Je ne me sens plus du tout maître de mon véhicule, je n'ai aucun contrôle et je perds également le plaisir de conduire... ",0,0,10,30,1,23,1,"   Je ne me sens plus du tout maître de mon véhicule, je n'ai aucun contrôle et je perds également le plaisir de conduire... ","Level5","Cloud",2,"text59",59,27,27,18.52,348.15,55.56,22.22,22.22,18.52,0,0,3.7,0,0,14.81,18.52,3.7,3.7,11.11,0,7.41,11.11,3.7,11.11,14.81,0,0,0,0,0,0,11.11,7.41,3.7,0,0,3.7,29.63,3.7,3.7,0,0,3.7,3.7,7.41,14.81,3.7,0,0,3.7,0,0,0,0,0,7.41,3.7,0,0,3.7,11.11,0,0,0,0,0,0,0,0,18.52,11.11,3.7,0,0,0,0,0,3.7,3.7,0,18.52
